zone_id,n,med_excess,wx,wy,dens,logdens,resid
Zone_DH137,383,0.083196747215269,233633.934308094,2639797.8117232374,6.031,1.7969128344688496,-0.06493871112636528
Zone_DH138,389,0.1872736946135267,233638.9864267352,2641843.6371979434,9.387,2.239325753354855,0.0029924561138155725
Zone_DH139,396,0.2188517086757621,233651.88404040402,2643818.83,9.206,2.2198554453950496,0.03616122270854316
Zone_DH140,392,0.18216559318587566,233663.01061224492,2645822.4014285714,5.65,1.7316555451583497,0.03936175047397644
Zone_DH141,397,0.243622558891834,233658.83516372796,2647816.4370528967,5.381,1.6828742305072826,0.10480422067116726
Zone_DH142,398,0.2403397268721563,233661.22874371862,2649818.076231156,4.981,1.6056306740911463,0.10783229977017025
Zone_DH143,83,0.1878711103673846,233731.96192771083,2651038.7095180727,2.181,0.779783487219492,0.12283660185917167
Zone_DH144,150,0.19032718555802502,235694.14666666667,2618402.1633333336,1.056,0.054488185284069776,0.1845503601198645
Zone_DH145,375,0.0586813008749425,235674.41333333333,2619827.23,4.594,1.5247511042669066,-0.06721814751451399
Zone_DH146,391,0.1973080752853488,235661.35212276215,2621829.955319693,9.244,2.2239746924121344,0.014281040834258157
Zone_DH147,389,0.1559445035148234,235637.95814910025,2623838.752879177,16.719,2.8165457972555092,-0.075496453697904
Zone_DH148,400,0.22587631359834426,235661.48,2625818.83,20.075,2.9994752598328254,-0.02051024727216988
Zone_DH149,400,0.18260501844379223,235661.48,2627818.83,19.413,2.965942944743239,-0.0610419034205385
Zone_DH150,400,0.15322250598884615,235661.48,2629818.83,17.969,2.8886480509443166,-0.08410931041782135
Zone_DH151,399,0.2327571997963864,235659.09904761906,2631820.459072682,15.012,2.7088498812727746,0.010115155854176966
Zone_DH152,400,0.34608479291484084,235661.48,2633818.83,12.575,2.531710715985803,0.13791527690416294
Zone_DH153,400,0.0824271899481434,235661.48,2635818.83,8.963,2.1931049923752246,-0.09807774502653611
Zone_DH154,276,0.053490628269972945,235733.58144927537,2637550.3517391304,6.231,1.829536833562085,-0.09731025833734278
Zone_DH155,240,0.0414013634416843,235847.73,2640124.246666667,4.888,1.586783221869294,-0.08956619934922708
Zone_DH156,397,0.3556998720159851,235668.40695214106,2641825.756952141,10.15,2.3174737054877963,0.16503383194964288
Zone_DH157,397,0.2448569402134449,235668.65884130984,2643819.207833753,9.188,2.217898284826852,0.062326357116626485
Zone_DH158,386,0.1917801668035949,235639.2002072539,2645807.171968912,5.338,1.6748510509823324,0.053617334041511644
Zone_DH159,347,0.1334515903169518,235601.10536023055,2647751.5389337176,4.562,1.5177611238621964,0.00812323351237515
Zone_DH160,362,0.17278032751653355,235620.04353591162,2649799.7692265194,3.444,1.2366335865654843,0.07042050016877138
Zone_DH161,72,0.0387185855478902,235533.70222222226,2651024.3855555556,1.456,0.3756929497744942,0.006698862790564218
Zone_DH162,126,0.027611056482684852,237873.38476190477,2618347.4014285714,1.206,0.18730909830499368,0.010982568903784753
Zone_DH163,398,0.06848019037143066,237656.9573869347,2619814.0561306532,4.375,1.4759065198095778,-0.05342858429142487
Zone_DH164,359,0.1296327637597149,237628.19309192203,2621854.9024233986,11.05,2.402430427963762,-0.0679743643320388
Zone_DH165,398,0.2070664294943944,237666.25386934675,2623823.3526130654,15.4,2.7343675094195836,-0.01766044185175386
Zone_DH166,400,0.22246456093311495,237661.48,2625818.83,13.569,2.6077877791638158,0.008079438001127592
Zone_DH167,400,0.2095317889266064,237661.48,2627818.83,16.525,2.80487438573775,-0.0209555969575132
Zone_DH168,400,0.1281530548278429,237661.48,2629818.83,17.606,2.8682397530387145,-0.10751137390091975
Zone_DH169,400,0.2177007775620678,237661.48,2631818.83,14.425,2.668962812394163,-0.0016824347292335728
Zone_DH170,400,0.2627836260832985,237661.48,2633818.83,13.569,2.6077877791638158,0.04839850315131117
