zone_id,n,mixture_ratio,median_excess,mean_score
Zone_DH162,126,0.35714285714285715,0.02761105648268486,0.41647387832741245
Zone_DH163,398,0.42462311557788945,0.06848019037143066,0.38391009488904165
Zone_DH164,359,0.6044568245125348,0.12963276375971494,0.4444530522530657
Zone_DH165,398,0.8442211055276382,0.2070664294943944,0.521001899918303
Zone_DH166,400,0.84,0.222464560933115,0.5257192420947824
Zone_DH167,400,0.8875,0.20953178892660643,0.5216571193684834
Zone_DH168,400,0.6725,0.12815305482784292,0.4531875286657727
Zone_DH169,400,0.7875,0.21770077756206782,0.5244988081960333
Zone_DH170,400,0.9175,0.2627836260832986,0.5803991189310812
Zone_DH171,400,0.82,0.22781385541499907,0.5301464008485235
Zone_DH172,399,0.5764411027568922,0.11908871529934756,0.45463409804896715
Zone_DH173,399,0.44862155388471175,0.08878821171892426,0.4130689272462319
Zone_DH174,400,0.7725,0.19916578905283155,0.5097906977435436
Zone_DH175,397,0.6020151133501259,0.16764471169999018,0.4749497146738818
Zone_DH176,313,0.3450479233226837,0.0022091979258698213,0.35555125214595096
Zone_DH177,275,0.3054545454545455,-0.029702088121377757,0.33099647800935034
Zone_DH178,365,0.5041095890410959,0.19247668650766425,0.47846981006275313
Zone_DH180,108,0.4166666666666667,0.05453178157175037,0.39768334949441414
Zone_DH181,356,0.3398876404494382,0.03461919537218855,0.3598920055658318
Zone_DH182,397,0.7984886649874056,0.26069960278602927,0.5390268540373603
Zone_DH183,399,0.8195488721804511,0.2106506100478548,0.5269553343963955
Zone_DH184,371,0.660377358490566,0.18436998979674168,0.5032857544168878
Zone_DH185,396,0.6590909090909091,0.16110263390395618,0.4752794056269596
Zone_DH186,399,0.5238095238095238,0.09277964408018508,0.42893842151958816
Zone_DH187,248,0.45161290322580644,0.07432065909004545,0.3847204002926847
Zone_DH188,353,0.5892351274787535,0.14446462917666725,0.46991257288970817
Zone_DH189,400,0.52,0.07952661533065375,0.4075716852482635
Zone_DH190,379,0.42480211081794195,0.01884043549973541,0.3483631645098275
Zone_DH191,237,0.2742616033755274,-0.021407445886717835,0.3123441531558824
Zone_DH192,349,0.38968481375358166,0.11036480878732596,0.43829505850294503
Zone_DH193,311,0.45980707395498394,0.0976909276445837,0.3966265318107227
Zone_DH194,172,0.32558139534883723,-0.02973777342994216,0.3295425774201178
Zone_DH195,282,0.24822695035460993,-0.06696693128626272,0.30396747067592433
Zone_DH196,361,0.26038781163434904,-0.027593233782640003,0.30818710750361233
Zone_DH198,150,0.35333333333333333,0.0633063556798229,0.3827948374712743
Zone_DH199,395,0.6658227848101266,0.1872997629689756,0.48870502525285453
Zone_DH200,400,0.87,0.24314897991551493,0.5607396942770846
Zone_DH201,400,0.9175,0.2800746775059613,0.5911388966782672
Zone_DH202,316,0.43670886075949367,0.09473941499291982,0.42910049622217733
Zone_DH203,315,0.4253968253968254,0.08195696012233022,0.3948835671486122
Zone_DH204,321,0.46105919003115264,0.1288859412268945,0.46692011906660474
Zone_DH205,236,0.5042372881355932,0.1374856629849814,0.41479137651704223
Zone_DH206,353,0.5495750708215298,0.1496547570814255,0.4495950105220916
Zone_DH207,396,0.17929292929292928,-0.037525750526916285,0.3058486732044162
Zone_DH208,376,0.3484042553191489,-0.00791295781091314,0.3533845474899883
Zone_DH209,140,0.2857142857142857,0.018049702523406014,0.32600122291451705
Zone_DH210,211,0.1990521327014218,-0.23537969472672415,0.23284444879136412
Zone_DH211,237,0.0970464135021097,-0.13471384101015632,0.22169749313928225
Zone_DH213,249,0.14457831325301204,-0.18550689328057907,0.23608950035114667
Zone_DH214,238,0.3277310924369748,-0.028678172032199106,0.3516051686263288
Zone_DH217,86,0.5581395348837209,0.21987783543194256,0.4658744469875251
Zone_DH218,95,0.8842105263157894,0.3047719724519535,0.6186143411674659
Zone_DH219,100,0.89,0.33508372882368265,0.6597920917704765
Zone_DH220,72,0.6666666666666666,0.2801226974189604,0.5844716133497451
Zone_DH224,62,0.6290322580645161,0.17137721165947112,0.48564736730449704
Zone_DH225,88,0.375,0.05546423898275543,0.44310084940855426
