zone_id,node_count,edge_count,density,transitivity,avg_clustering_coef,avg_degree,n_scc,n_wcc,gscc_pct,gwcc_pct,wcc_fragmentation,orientation_entropy,path_length_p90,path_length_p90_norm,mean_in_degree_centrality,mean_out_degree_centrality,hub_dominance_ratio,mean_closeness_centrality,mean_betweenness_centrality,betweenness_gini,mean_katz_centrality,mean_pagerank,mean_local_clustering,mean_strength_norm,global_efficiency,local_efficiency
Zone_DH622,507,1226,0.004779,0.0389,0.0316,4.8363,12,11,89.35,89.74,0.0217,3.7542,27.0,1.1991,0.00549,0.00549,1.6049,0.064644,0.03323,0.6954,0.046667,0.002198,0.0278,0.0055,0.092757,0.027839
Zone_DH623,332,727,0.006616,0.0238,0.0141,4.3795,7,7,96.99,96.99,0.0211,3.8169,28.0,1.5367,0.006956,0.006956,1.7914,0.062145,0.049714,0.7475,0.055455,0.003106,0.0145,0.0069,0.092014,0.014493
Zone_DH624,229,480,0.009193,0.0386,0.0226,4.1921,12,12,65.07,65.07,0.0524,3.8615,19.0,1.2556,0.015055,0.015055,1.7952,0.092003,0.069449,0.709,0.081485,0.006711,0.0246,0.015,0.131719,0.024609
Zone_DH625,228,542,0.010472,0.0556,0.0409,4.7544,2,2,98.68,98.68,0.0088,3.6001,31.0,2.053,0.010675,0.010675,1.6729,0.060821,0.071349,0.7655,0.066306,0.004444,0.0415,0.0106,0.101715,0.041481
Zone_DH626,157,366,0.014944,0.038,0.0244,4.6624,4,4,69.43,69.43,0.0255,3.5605,17.0,1.3567,0.021747,0.021747,1.7031,0.102885,0.083021,0.7023,0.095329,0.009174,0.026,0.0215,0.155336,0.025994
Zone_DH627,122,276,0.018697,0.0386,0.0232,4.5246,3,3,98.36,98.36,0.0246,3.65,16.0,1.4486,0.019328,0.019328,1.7391,0.106097,0.073847,0.6857,0.090854,0.008333,0.0236,0.0192,0.149412,0.023611
Zone_DH628,64,144,0.035714,0.025,0.013,4.5,3,2,96.88,98.44,0.0312,3.2513,11.0,1.375,0.036866,0.036866,1.75,0.147746,0.09522,0.6235,0.125425,0.015873,0.0132,0.0363,0.208936,0.013228
Zone_DH630,78,170,0.028305,0.0219,0.0128,4.359,5,5,66.67,66.67,0.0641,3.7161,9.0,1.019,0.046757,0.046757,1.6774,0.181431,0.09458,0.5753,0.137997,0.019231,0.0192,0.0459,0.243819,0.019231
Zone_DH631,246,572,0.009491,0.0232,0.0237,4.6504,5,5,52.03,52.03,0.0203,3.5304,20.0,1.2752,0.019562,0.019562,1.6101,0.096436,0.079338,0.6572,0.087842,0.007812,0.0208,0.0194,0.149652,0.020833
Zone_DH632,419,1080,0.006166,0.0251,0.0235,5.1551,2,2,99.76,99.76,0.0048,3.4231,24.0,1.1725,0.006196,0.006196,1.5481,0.068675,0.03492,0.6894,0.048616,0.002392,0.0235,0.0062,0.094435,0.023525
Zone_DH633,543,1408,0.004784,0.0343,0.0295,5.186,5,5,81.03,81.03,0.0092,3.6154,25.0,1.0729,0.005974,0.005974,1.9064,0.06944,0.031855,0.6874,0.047386,0.002273,0.0254,0.006,0.096983,0.025379
Zone_DH634,777,1975,0.003276,0.0467,0.0387,5.0837,8,5,99.1,99.49,0.0064,3.9133,34.0,1.2197,0.00331,0.00331,1.957,0.048786,0.025855,0.7469,0.035792,0.001294,0.0389,0.0033,0.073493,0.038853
Zone_DH635,1100,2705,0.002238,0.0425,0.0303,4.9182,14,6,93.27,94.55,0.0055,3.8704,28.0,0.8442,0.002365,0.002365,1.6282,0.052306,0.017215,0.7253,0.030858,0.000962,0.0303,0.0024,0.071039,0.030321
Zone_DH636,1308,3119,0.001824,0.0321,0.0236,4.7691,30,7,97.25,99.46,0.0054,3.8591,36.0,0.9954,0.001843,0.001843,1.6696,0.044514,0.01668,0.7146,0.027592,0.000769,0.0238,0.0018,0.06426,0.023879
Zone_DH637,1311,3072,0.001789,0.0315,0.0244,4.6865,16,6,98.02,99.47,0.0046,3.7641,38.0,1.0495,0.001806,0.001806,1.7001,0.040992,0.018145,0.7051,0.027562,0.000767,0.0246,0.0018,0.062988,0.025141
Zone_DH638,1080,2447,0.0021,0.039,0.0281,4.5315,30,12,97.04,98.89,0.0111,3.8646,36.0,1.0954,0.002146,0.002146,1.7472,0.043322,0.019792,0.6983,0.03045,0.000936,0.0284,0.0021,0.06693,0.028948
Zone_DH639,1143,2634,0.002018,0.0427,0.0347,4.6089,21,11,95.98,98.16,0.0096,3.9388,33.0,0.9761,0.002072,0.002072,1.7222,0.046311,0.018444,0.728,0.029712,0.000891,0.0345,0.0021,0.068766,0.034759
Zone_DH640,1324,3156,0.001802,0.0319,0.0245,4.7674,25,15,93.88,96.98,0.0113,3.9858,32.0,0.8794,0.001881,0.001881,2.0723,0.047321,0.015296,0.737,0.027772,0.000779,0.0245,0.0019,0.069041,0.02474
Zone_DH641,1366,3248,0.001742,0.0287,0.0214,4.7555,34,25,95.75,97.29,0.0183,3.9511,35.0,0.947,0.001824,0.001824,2.0637,0.044752,0.016284,0.7336,0.027298,0.000752,0.0203,0.0018,0.063688,0.020517
Zone_DH642,1427,3330,0.001636,0.0213,0.0153,4.6671,16,8,97.97,99.51,0.0056,3.9772,41.0,1.0854,0.001653,0.001653,2.1321,0.038406,0.017487,0.7507,0.026392,0.000704,0.0154,0.0017,0.056817,0.015376
Zone_DH643,1213,2814,0.001914,0.029,0.0204,4.6397,22,15,95.96,97.53,0.0124,3.9787,40.0,1.1485,0.00199,0.00199,1.7009,0.038436,0.021634,0.7497,0.028905,0.000845,0.0209,0.002,0.061843,0.020935
Zone_DH644,1125,2691,0.002128,0.0311,0.0228,4.784,18,13,96.0,97.07,0.0116,3.7677,40.0,1.1926,0.00222,0.00222,2.0643,0.03979,0.022193,0.7305,0.030111,0.000916,0.0235,0.0022,0.064247,0.023535
Zone_DH645,1196,3085,0.002159,0.0273,0.0224,5.1589,17,12,98.33,99.08,0.01,3.5732,39.0,1.1277,0.002199,0.002199,1.9206,0.041364,0.020949,0.6907,0.02893,0.000844,0.0226,0.0022,0.062527,0.022588
Zone_DH646,1181,3001,0.002153,0.0274,0.0231,5.0821,15,5,98.73,99.66,0.0042,3.6162,38.0,1.1058,0.002168,0.002168,1.5688,0.042594,0.018904,0.6892,0.029022,0.00085,0.0232,0.0022,0.062808,0.023223
